Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
30.56,60.688,334.978,0.526,0.0,41.3,4.82,41.612,-2.63
30.49,60.745,394.754,0.524,0.095,44.02,0.28,44.63,-5.1
30.54,60.82899999999999,754.9830000000002,0.409,0.14800000000000002,39.13,0.47,37.583,-4.02
30.58,62.277,669.6030000000002,0.438,0.142,47.78,0.59,33.333,-5.19
30.59,59.402,633.851,0.481,0.14400000000000002,45.07,0.42,33.762,-3.8
31.15,60.877,522.674,0.46,0.123,39.48,0.56,46.39,-4.72
31.21,59.316,366.15,0.468,0.093,43.32,0.42,32.657,-3.0
31.16,60.15,258.267,0.556,0.08,42.14,0.67,46.398,-4.69
31.05,57.38800000000001,335.747,0.539,0.0,40.69,0.57,31.095,-6.62
30.98,60.413,646.264,0.449,0.162,41.45,0.07,39.352,-2.35
31.01,59.767,322.59,0.501,0.09,36.64,0.12,45.499,-1.78
31.17,60.051,456.98,0.52,0.105,46.37,0.61,36.109,-4.5
31.34,60.979,353.577,0.495,0.102,42.08,0.63,45.956,-3.91
31.33,61.894,274.257,0.532,0.064,46.36,0.17,53.934,-2.98
31.76,57.575,328.1740000000001,0.52,0.099,38.78,0.61,33.514,-6.09
31.76,57.962,580.569,0.462,0.123,43.75,0.65,35.279,-4.18
31.81,59.416,472.318,0.403,0.105,38.84,0.51,42.907,-3.96
31.89,60.035,653.779,0.454,0.112,44.52,0.53,48.438,-5.14
31.88,65.32600000000001,346.487,0.573,0.1,41.62,0.83,17.405,-5.21
32.01,65.335,296.083,0.534,0.09,43.15,0.8,50.625,-3.16
32.14,64.91199999999999,310.476,0.542,0.08800000000000001,45.78,1.13,20.383,-2.36
34.04,62.105,439.481,0.541,0.124,43.83,0.9,12.575,-4.75
34.13,63.307,165.15,0.597,0.069,45.74,0.73,33.675,-3.45
34.23,62.932,872.61,0.389,0.193,47.72,0.62,25.272,-2.5
34.59,60.256,348.485,0.581,0.112,45.38,0.56,12.642,-3.59
34.61,59.39100000000001,649.072,0.412,0.198,36.06,0.77,28.324,-3.06
34.66,57.772,261.796,0.5870000000000001,0.085,44.25,0.86,18.663,-4.55
33.7,55.319,1212.987,0.344,0.205,47.85,0.22,75.221,-4.99
33.9,56.521,458.066,0.462,0.128,51.05,0.15,51.925,-2.48
34.09,56.1,775.863,0.406,0.269,42.35,0.18,59.511,-1.87
35.07,54.01300000000001,261.518,0.568,0.105,45.02,0.43,56.475,-7.26
35.24,54.054,366.994,0.514,0.125,42.58,0.3,67.31,-6.31
35.32,53.851000000000006,744.784,0.409,0.156,50.38,0.12,71.531,-5.1
35.49,53.715,654.497,0.438,0.16699999999999998,45.58,0.14,76.456,-4.27
37.18,47.012,570.521,0.496,0.154,50.67,0.62,65.947,-6.72
37.35,48.344,182.892,0.624,0.059,48.19,0.38,74.683,-3.14
37.73,48.923,181.73,0.595,0.071,45.2,0.19,62.175,-5.36
38.49,48.666,193.818,0.607,0.047,47.03,0.22,86.404,-4.74
